ID,дата_начала_периода,просрочка_дней
IDF54986240,2019-09-01,130
IDF55033179,2016-07-01,141
IDF55022899,2018-01-01,90
IDF55014766,2018-12-01,133
IDF54911191,2015-12-01,127
IDF55083141,2018-03-01,110
IDF55027016,2015-01-01,101
IDF55098125,2016-07-01,112
IDF55055481,2018-07-01,101
IDF55080464,2019-03-01,110
IDF54975917,2018-01-01,137
IDF54913126,2019-04-01,113
IDF55092206,2017-03-01,146
IDF54921475,2019-02-01,97
IDF55118674,2017-04-01,92
IDF54940131,2015-02-01,118
IDF54994097,2016-03-01,99
IDF54905257,2015-03-01,100
IDF54904313,2015-12-01,117
IDF55069671,2014-09-01,135
IDF55126255,2018-01-01,106
IDF55135263,2015-11-01,127
IDF55002783,2018-12-01,115
IDF54938994,2016-07-01,112
IDF55150895,2017-04-01,105
IDF55087202,2019-12-01,128
IDF55074535,2018-09-01,150
IDF55002850,2018-11-01,97
IDF54958699,2019-04-01,90
IDF55066328,2019-12-01,86
IDF54899124,2018-12-01,125
IDF55107762,2014-10-01,138
IDF54947780,2019-11-01,91
IDF54909128,2019-05-01,133
IDF54985869,2016-10-01,115
IDF55151057,2015-06-01,88
IDF54978070,2019-09-01,138
IDF54965370,2015-12-01,120
IDF55105592,2016-03-01,104
IDF55064926,2014-06-01,138
IDF54966021,2017-09-01,85
IDF54990915,2019-02-01,105
IDF55049659,2018-06-01,131
IDF55133123,2018-12-01,127
IDF55087330,2016-02-01,118
IDF54989563,2018-03-01,101
IDF55004062,2019-10-01,92
IDF55132332,2014-12-01,91
IDF55075144,2019-06-01,143
IDF54937664,2014-06-01,130
IDF54974539,2018-12-01,140
IDF54968409,2019-11-01,140
IDF55037651,2019-05-01,108
IDF55047670,2018-03-01,83
IDF55118700,2019-07-01,124
IDF55097423,2016-06-01,137
IDF55091055,2014-09-01,90
IDF55123070,2015-12-01,142
IDF55033104,2015-05-01,141
IDF55057982,2019-02-01,109
IDF54971963,2016-09-01,102
IDF55117128,2019-05-01,132
IDF54997850,2017-08-01,97
IDF54931324,2015-12-01,90
IDF54971049,2017-02-01,90
IDF55014345,2018-12-01,108
IDF55058601,2019-10-01,129
IDF54898544,2018-11-01,147
IDF55006848,2014-12-01,119
IDF55001507,2017-08-01,145
IDF54984067,2019-06-01,148
IDF55148463,2015-11-01,107
IDF55101964,2019-02-01,95
IDF55057748,2019-12-01,126
IDF54938868,2019-03-01,100
IDF55148305,2016-02-01,89
IDF54983638,2014-02-01,123
IDF54905583,2016-07-01,136
IDF55113851,2019-03-01,124
IDF54986331,2014-10-01,138
IDF55042264,2015-02-01,82
IDF55002898,2015-06-01,129
IDF55098892,2015-03-01,99
IDF55013300,2018-11-01,134
IDF54945951,2014-03-01,100
IDF54919082,2014-11-01,116
IDF54940981,2018-12-01,95
IDF54990643,2019-07-01,89
IDF55101687,2016-10-01,150
IDF54931013,2014-06-01,119
IDF55008594,2019-03-01,143
IDF54996434,2014-11-01,82
IDF55011501,2019-08-01,144
IDF55122133,2019-12-01,99
IDF54975501,2014-06-01,128
IDF54987466,2019-11-01,120
IDF55115177,2013-12-01,133
IDF55141299,2018-12-01,142
IDF55014037,2019-05-01,101
IDF54978572,2015-04-01,117
IDF55054140,2014-12-01,89
IDF55081242,2018-03-01,87
IDF54954455,2018-05-01,111
IDF55120601,2014-09-01,112
IDF54972977,2018-12-01,113
IDF54952875,2018-05-01,95
IDF55124834,2016-03-01,113
IDF55116703,2017-03-01,138
IDF55065991,2015-04-01,93
IDF55054821,2015-11-01,123
IDF54980145,2015-08-01,98
IDF55021676,2018-12-01,133
IDF55062085,2019-02-01,115
IDF54927103,2018-05-01,93
IDF55061660,2016-08-01,147
IDF55039127,2015-11-01,148
IDF55020265,2015-09-01,143
IDF54994599,2015-03-01,142
IDF55081735,2019-08-01,121
IDF55080600,2015-10-01,86
IDF54923368,2019-06-01,112
IDF55099606,2019-07-01,92
IDF55110885,2016-12-01,139
IDF55027401,2015-10-01,149
IDF54942801,2014-10-01,90
IDF54961825,2016-09-01,110
IDF54898786,2019-07-01,99
IDF54975067,2017-03-01,96
IDF55100048,2019-07-01,136
IDF55024789,2015-11-01,106
IDF55128260,2018-05-01,136
IDF55081269,2019-05-01,141
IDF54964192,2018-09-01,98
IDF55083940,2018-01-01,107
IDF54973225,2016-08-01,100
IDF54923025,2019-03-01,147
IDF55011389,2018-01-01,131
IDF55144129,2014-07-01,115
IDF55081333,2019-04-01,92
IDF55141280,2018-06-01,86
IDF54913032,2015-03-01,137
IDF55097387,2019-05-01,81
IDF55043202,2015-01-01,115
IDF55132016,2019-12-01,84
IDF54994025,2017-01-01,81
IDF55091155,2018-07-01,146
IDF55134891,2015-10-01,88
IDF54970341,2018-12-01,92
IDF55021376,2019-12-01,109
IDF55029479,2015-04-01,124
IDF55100289,2017-11-01,114
IDF55025166,2014-10-01,146
IDF55097403,2019-04-01,83
IDF55127425,2018-07-01,129
IDF54925355,2015-09-01,104
IDF54998972,2018-11-01,133
IDF55037452,2019-07-01,98
IDF54986879,2014-05-01,137
IDF55117563,2015-01-01,82
IDF55113812,2016-04-01,117
IDF54997490,2014-05-01,148
IDF55023453,2015-10-01,91
IDF54921051,2019-11-01,140
IDF54897187,2019-10-01,130
IDF55054146,2015-08-01,117
IDF54915443,2016-11-01,99
IDF55093973,2019-07-01,91
IDF54953153,2018-11-01,117
IDF55090816,2016-06-01,103
IDF54923200,2016-05-01,123
IDF55019501,2018-11-01,130
IDF55064317,2018-11-01,112
IDF55038281,2019-05-01,145
IDF54919209,2017-09-01,123
IDF55118799,2017-12-01,107
IDF55042238,2015-05-01,106
IDF54975465,2014-03-01,143
IDF55145166,2018-06-01,113
IDF55072268,2019-06-01,116
IDF54951017,2016-07-01,122
IDF55019743,2016-06-01,147
IDF55112829,2016-10-01,109
IDF55129015,2019-02-01,114
IDF55025961,2014-06-01,132
IDF55025289,2018-03-01,104
IDF54911415,2015-11-01,131
IDF55116890,2017-05-01,116
IDF55088197,2018-06-01,126
IDF55014792,2016-06-01,96
IDF55111737,2016-11-01,93
IDF55109161,2015-03-01,148
IDF55076663,2014-05-01,150
IDF54946642,2014-06-01,131
IDF55148046,2014-05-01,128
IDF55000439,2018-08-01,84
IDF54954646,2019-02-01,144
IDF55055153,2018-10-01,146
IDF55100445,2019-10-01,108
IDF55028292,2016-05-01,107
IDF54969611,2019-12-01,123
IDF54988770,2018-01-01,90
IDF54951911,2016-03-01,105
IDF55004185,2014-10-01,148
IDF54936988,2016-12-01,93
IDF55025097,2018-09-01,137
IDF55092361,2014-11-01,88
IDF54989428,2018-11-01,89
IDF55061137,2017-09-01,122
IDF54930913,2014-08-01,127
IDF54982167,2015-06-01,113
IDF54909553,2015-09-01,100
IDF55122447,2019-12-01,81
IDF54945835,2018-11-01,99
IDF55116453,2016-03-01,86
IDF55109403,2019-05-01,144
IDF55141162,2019-07-01,93
IDF55112284,2017-11-01,100
IDF54954016,2015-10-01,103
IDF55080652,2018-06-01,89
IDF54954127,2015-07-01,98
IDF54972019,2018-01-01,108
IDF55009375,2019-10-01,127
IDF55049799,2017-05-01,99
IDF55028356,2017-01-01,96
IDF54936535,2016-03-01,142
IDF55032837,2019-11-01,134
IDF54993762,2016-03-01,106
IDF54946261,2018-04-01,95
IDF54991658,2019-03-01,87
IDF55013491,2015-09-01,136
IDF55125815,2014-09-01,118
IDF55007475,2019-05-01,141
IDF55063700,2019-03-01,98
IDF54998505,2016-06-01,116
IDF54911976,2016-11-01,135
IDF55125439,2019-10-01,87
IDF54909541,2019-06-01,128
IDF55040287,2016-03-01,112
IDF55030895,2019-09-01,138
IDF54945915,2016-12-01,136
IDF55103919,2019-06-01,146
IDF55028039,2016-11-01,136
IDF55000891,2014-04-01,107
IDF55005889,2018-11-01,110
IDF55075526,2018-11-01,111
IDF55114339,2019-06-01,98
IDF55056970,2017-07-01,142
IDF55079852,2019-09-01,146
IDF55061920,2018-04-01,94
IDF55026337,2014-03-01,147
IDF55140193,2017-06-01,130
IDF54948233,2019-05-01,82
IDF54911643,2018-02-01,111
IDF55093002,2018-12-01,141
IDF55110949,2015-12-01,140
IDF55072631,2018-11-01,104
IDF54908672,2019-12-01,105
IDF55079062,2016-11-01,99
IDF55006332,2016-03-01,97
IDF54897687,2015-09-01,120
IDF55096250,2018-02-01,111
IDF54982011,2014-04-01,83
IDF55101948,2017-05-01,106
IDF54938578,2019-04-01,101
IDF55029064,2018-05-01,84
IDF54927549,2019-11-01,102
IDF55135367,2019-02-01,135
IDF54920934,2016-09-01,88
IDF54939646,2015-09-01,145
IDF54973875,2015-03-01,143
IDF55101025,2019-02-01,89
IDF55096713,2018-01-01,80
IDF54928167,2019-07-01,93
IDF55129617,2018-05-01,131
IDF55129867,2015-05-01,87
IDF55007649,2016-02-01,121
IDF55122584,2017-06-01,122
IDF55035703,2018-05-01,82
IDF54973145,2019-02-01,81
IDF55103992,2014-03-01,84
IDF55016902,2016-09-01,148
IDF54947855,2015-08-01,147
IDF54907572,2019-10-01,113
IDF54966219,2018-12-01,97
IDF55147425,2019-10-01,113
IDF54913188,2018-06-01,144
IDF55105621,2018-09-01,147
IDF55145104,2019-06-01,92
IDF55128976,2018-04-01,123
IDF54965433,2018-07-01,126
IDF55078848,2015-10-01,89
IDF54941290,2017-03-01,88
IDF55017369,2019-03-01,102
IDF54999043,2016-09-01,104
IDF55121755,2018-02-01,123
IDF55048832,2016-06-01,140
IDF55110778,2014-05-01,141
IDF54917552,2014-08-01,142
IDF55042030,2018-12-01,110
IDF55007732,2015-05-01,89
IDF54987238,2019-12-01,85
IDF54921643,2014-04-01,144
IDF55016377,2015-04-01,120
IDF54998677,2015-02-01,104
IDF55001322,2018-06-01,92
IDF55115357,2016-07-01,146
IDF54994331,2017-12-01,150
IDF55027753,2017-10-01,117
IDF55117574,2019-06-01,135
IDF55077327,2016-09-01,131
IDF54976525,2014-09-01,120
IDF54951630,2014-12-01,149
IDF54943437,2015-10-01,81
IDF55135624,2019-12-01,89
IDF55086084,2018-11-01,95
IDF55066518,2018-11-01,82
IDF55037249,2016-01-01,88
IDF55149676,2017-02-01,99
IDF55031351,2018-12-01,127
IDF55030422,2015-12-01,111
IDF54985249,2018-01-01,105
IDF54945726,2018-11-01,119
IDF54898223,2015-03-01,88
IDF55073267,2016-07-01,131
IDF54931620,2018-02-01,115
IDF55059833,2017-09-01,81
IDF55036479,2016-12-01,93
IDF55064924,2014-04-01,80
IDF55045259,2014-11-01,90
IDF54963180,2016-03-01,92
IDF55142893,2014-06-01,80
IDF55028862,2018-08-01,132
IDF54914696,2019-10-01,148
IDF55018069,2018-05-01,123
IDF55096528,2019-09-01,106
IDF54904566,2015-05-01,105
IDF55062826,2017-10-01,105
IDF54916345,2015-10-01,88
IDF54971291,2017-05-01,143
IDF54970982,2017-04-01,119
IDF55025155,2019-12-01,91
IDF55122451,2015-06-01,80
IDF55061893,2014-05-01,114
IDF55006121,2015-04-01,141
IDF54964285,2018-10-01,118
IDF55109366,2017-11-01,139
IDF54950938,2017-01-01,138
IDF55147253,2019-07-01,102
IDF54934010,2018-09-01,82
IDF55045667,2016-04-01,138
IDF54985570,2017-12-01,101
IDF54992721,2014-07-01,146
IDF55095619,2019-02-01,80
IDF54933390,2018-01-01,84
IDF54934714,2019-07-01,102
IDF54944025,2017-10-01,144
IDF54920730,2016-12-01,124
IDF55059289,2018-11-01,103
IDF55004104,2016-10-01,107
IDF55020444,2014-06-01,109
IDF55105995,2018-04-01,142
IDF54980161,2018-12-01,144
IDF55033265,2016-10-01,139
IDF55037093,2018-12-01,136
IDF55012404,2016-01-01,136
IDF55007315,2018-12-01,116
IDF55023372,2019-10-01,104
IDF55095294,2018-08-01,94
IDF54961671,2015-05-01,86
IDF54966962,2014-05-01,95
IDF55139990,2018-09-01,112
IDF55108268,2015-06-01,102
IDF55141210,2015-01-01,149
IDF54900656,2019-05-01,96
IDF55136935,2019-02-01,110
IDF54908318,2015-02-01,116
IDF54926449,2019-11-01,97
IDF55117948,2017-02-01,102
IDF54990367,2019-09-01,129
IDF54943721,2017-08-01,117
IDF55124926,2017-05-01,81
IDF55135995,2015-09-01,89
IDF54991497,2018-08-01,144
IDF54943230,2015-07-01,148
IDF55026805,2017-04-01,135
IDF55103652,2016-09-01,112
IDF55048306,2019-02-01,150
IDF55107565,2018-03-01,89
IDF55060576,2014-03-01,135
IDF55001003,2015-11-01,130
IDF55084630,2017-04-01,91
IDF55012478,2019-09-01,80
IDF54996130,2015-02-01,95
IDF55078056,2014-05-01,144
IDF55129490,2016-06-01,134
IDF54989943,2015-09-01,102
IDF55092104,2018-11-01,82
IDF54970761,2017-04-01,113
IDF55078759,2019-09-01,129
IDF55100996,2018-08-01,103
IDF55091109,2018-07-01,119
IDF55083595,2018-03-01,132
IDF55019764,2018-11-01,102
IDF55030285,2016-01-01,141
IDF54924105,2015-10-01,98
IDF54980767,2018-12-01,111
IDF54961813,2019-10-01,105
IDF54983647,2019-12-01,119
IDF54918153,2018-11-01,108
IDF55124878,2019-05-01,99
IDF55093039,2019-08-01,139
IDF55039189,2019-10-01,131
IDF54913835,2016-04-01,114
IDF55040846,2018-03-01,104
IDF54947564,2018-07-01,143
IDF55056219,2016-06-01,100
IDF55095300,2014-05-01,84
IDF55064118,2015-10-01,143
IDF54966925,2019-06-01,106
IDF54965376,2019-05-01,135
IDF55001454,2019-12-01,101
IDF55056887,2015-02-01,97
IDF55092723,2015-10-01,131
IDF55035951,2016-07-01,106
IDF55057305,2016-02-01,95
IDF54942166,2016-03-01,107
IDF54990400,2019-11-01,111
IDF55110557,2016-08-01,109
IDF54994015,2017-03-01,82
IDF54985420,2019-04-01,90
IDF54993043,2016-09-01,141
IDF54981341,2019-06-01,101
IDF55000545,2017-03-01,147
IDF55081765,2018-07-01,112
IDF55122730,2016-04-01,120
IDF54958614,2019-02-01,137
IDF54966353,2014-08-01,121
IDF54964172,2016-06-01,141
IDF55005142,2015-02-01,140
IDF54962013,2017-03-01,138
IDF54927230,2016-09-01,108
IDF55055198,2017-01-01,108
IDF55057707,2017-10-01,150
IDF55117383,2019-06-01,150
IDF54970169,2013-12-01,122
IDF55111664,2015-09-01,124
IDF55015941,2018-10-01,136
IDF54935437,2014-07-01,148
IDF55093307,2016-05-01,103
IDF54919974,2017-08-01,107
IDF55113770,2017-01-01,146
IDF55061015,2014-09-01,83
IDF54920303,2017-06-01,82
IDF55093269,2015-02-01,82
IDF55002286,2018-10-01,110
IDF55136217,2017-12-01,132
IDF55023004,2015-09-01,93
IDF55026077,2019-07-01,97
IDF55047958,2015-07-01,148
IDF55142239,2014-09-01,118
IDF55137218,2019-09-01,122
IDF55123147,2015-05-01,119
IDF54986765,2015-04-01,100
IDF55113053,2019-08-01,104
IDF55072684,2018-09-01,99
IDF55119695,2019-10-01,106
IDF54986823,2018-10-01,81
IDF54956070,2015-10-01,146
IDF55054324,2014-06-01,114
IDF54939074,2018-09-01,150
IDF55006897,2018-08-01,118
IDF55074283,2019-07-01,108
IDF54949083,2018-07-01,96
IDF54918365,2018-09-01,90
IDF55091841,2018-05-01,142
IDF55062964,2016-02-01,106
IDF54962719,2018-11-01,91
IDF55019453,2019-05-01,81
IDF54969388,2014-10-01,92
IDF55038040,2019-05-01,119
IDF54993294,2014-08-01,100
IDF54935302,2016-02-01,150
IDF54907947,2019-09-01,93
IDF54926220,2016-04-01,101
IDF55023955,2017-09-01,144
IDF55001639,2018-08-01,85
IDF55094626,2016-10-01,102
IDF55122898,2015-06-01,116
IDF55048536,2018-06-01,118
IDF54898663,2016-10-01,136
IDF55083353,2015-02-01,135
IDF54981383,2015-10-01,113
IDF54982762,2018-10-01,81
IDF55092553,2015-08-01,90
IDF54922064,2019-10-01,101
IDF54987323,2016-08-01,110
IDF55109606,2017-06-01,89
IDF55064812,2018-03-01,81
IDF55145746,2018-06-01,109
IDF55071614,2018-07-01,146
IDF55081441,2018-08-01,125
IDF55005096,2017-11-01,119
IDF54990991,2019-10-01,144
IDF55067430,2015-09-01,111
IDF55085596,2019-07-01,80
IDF55074198,2014-09-01,101
IDF54990505,2016-11-01,108
IDF55095890,2016-10-01,116
IDF55047864,2016-12-01,88
IDF55100594,2019-03-01,127
IDF55003124,2017-08-01,147
IDF55096420,2019-03-01,82
IDF54963197,2017-11-01,99
IDF54901675,2018-11-01,134
IDF55113041,2017-10-01,114
IDF54966808,2017-06-01,125
IDF55054075,2018-07-01,87
IDF54904954,2019-12-01,111
IDF55103408,2017-10-01,144
IDF54914664,2019-11-01,103
IDF55026650,2014-09-01,134
IDF54983396,2015-02-01,95
IDF54935693,2019-06-01,99
IDF55130819,2018-05-01,88
IDF55135323,2019-11-01,150
IDF54992570,2014-10-01,112
IDF55062833,2015-10-01,103
IDF54973300,2016-01-01,127
IDF55125422,2018-10-01,137
IDF55081352,2019-10-01,108
IDF54945284,2014-11-01,118
IDF55093016,2016-12-01,80
IDF55051442,2016-03-01,103
IDF55127167,2014-09-01,81
IDF55127333,2016-06-01,106
IDF54907201,2017-03-01,107
IDF54922391,2017-07-01,106
IDF55071307,2015-09-01,125
IDF55045712,2019-11-01,99
IDF54933669,2015-10-01,82
IDF54984924,2019-05-01,89
IDF55012992,2017-07-01,95
IDF55112765,2018-07-01,141
IDF55142321,2019-10-01,119
IDF54962446,2018-09-01,83
IDF55015736,2016-01-01,150
IDF55031350,2016-05-01,150
IDF54914454,2016-02-01,98
IDF55024901,2019-03-01,98
IDF55133193,2019-11-01,118
IDF55021118,2019-09-01,87
IDF55018135,2018-12-01,125
IDF55087545,2018-06-01,145
IDF54942389,2017-06-01,98
IDF55114774,2016-07-01,133
IDF55149990,2014-07-01,127
IDF54910533,2019-04-01,143
IDF55133693,2017-04-01,123
IDF55063106,2017-02-01,122
IDF55027587,2019-04-01,129
IDF55102466,2016-11-01,146
IDF54955743,2016-05-01,134
IDF54913979,2017-07-01,111
IDF55125629,2017-11-01,88
IDF54939621,2014-11-01,104
IDF54959561,2014-09-01,132
IDF54983035,2018-10-01,135
IDF55118922,2018-03-01,82
IDF55035748,2019-10-01,138
IDF54953143,2018-09-01,96
IDF55010880,2018-11-01,148
IDF55021137,2016-01-01,131
IDF55098143,2019-07-01,133
IDF55077027,2019-08-01,132
IDF55009575,2018-08-01,112
IDF54991993,2018-07-01,134
IDF55052369,2018-04-01,127
IDF54955027,2015-03-01,121
IDF55047969,2017-08-01,97
IDF55052619,2018-05-01,106
IDF55109143,2016-09-01,95
IDF54926191,2019-07-01,118
IDF55061775,2019-03-01,102
IDF55041943,2018-11-01,108
IDF54903329,2014-08-01,103
IDF54901986,2019-05-01,147
IDF55014100,2019-02-01,91
IDF55116931,2015-10-01,103
IDF54942879,2019-03-01,121
IDF55090096,2015-08-01,117
IDF54979972,2017-07-01,94
IDF54981893,2018-02-01,84
IDF54951784,2015-04-01,109
IDF54944350,2018-08-01,85
IDF54956700,2014-09-01,120
IDF54901921,2019-04-01,115
IDF54945131,2016-07-01,106
IDF54933768,2018-12-01,136
IDF55112536,2018-12-01,104
IDF55006763,2018-11-01,107
IDF55049848,2014-08-01,103
IDF55037822,2018-12-01,132
IDF54923957,2018-05-01,111
IDF54951450,2016-07-01,117
IDF54924741,2019-03-01,141
IDF55124141,2018-10-01,82
IDF55137468,2019-09-01,96
IDF54916401,2019-09-01,96
IDF55147287,2019-06-01,97
IDF55130299,2014-04-01,138
IDF55090520,2014-07-01,116
IDF54919186,2019-12-01,101
IDF55023908,2017-06-01,101
IDF54902010,2015-06-01,85
IDF54909169,2015-12-01,126
IDF55104218,2018-12-01,127
IDF54931068,2019-09-01,134
IDF55102663,2018-10-01,105
IDF55017439,2019-10-01,118
IDF55141159,2019-04-01,97
IDF55136050,2019-02-01,116
IDF54981253,2018-10-01,108
IDF55070294,2014-10-01,98
IDF55006708,2019-07-01,123
IDF55110736,2015-02-01,142
IDF55064923,2016-07-01,143
IDF54902976,2019-08-01,110
IDF55142246,2016-07-01,107
IDF54934910,2015-07-01,138
IDF55064826,2014-07-01,124
IDF55141694,2017-12-01,148
IDF54994871,2017-03-01,99
IDF55047066,2018-01-01,105
IDF54971059,2019-05-01,101
IDF54951805,2019-08-01,116
IDF54973896,2015-02-01,111
IDF54960667,2016-03-01,113
IDF55131825,2018-09-01,133
IDF54984791,2019-12-01,95
IDF55042944,2019-08-01,137
IDF55150785,2015-06-01,108
IDF55034232,2016-12-01,101
IDF54964222,2016-05-01,141
IDF54964643,2017-11-01,133
IDF55128940,2018-09-01,96
IDF55141833,2019-05-01,98
IDF54919457,2019-07-01,138
IDF55021921,2019-07-01,100
IDF54969561,2018-03-01,142
IDF54945352,2018-12-01,97
IDF54903377,2017-11-01,100
IDF55046047,2016-06-01,85
IDF54948678,2015-06-01,97
IDF55022912,2018-12-01,114
IDF55013588,2018-06-01,90
IDF54976877,2018-06-01,127
IDF54965184,2015-06-01,116
IDF54957658,2019-07-01,128
IDF55072079,2015-05-01,100
IDF55097350,2019-08-01,118
IDF55021078,2015-06-01,102
IDF54938900,2018-10-01,125
IDF55051054,2019-06-01,94
IDF54908324,2015-01-01,82
IDF54999225,2019-11-01,122
IDF54967880,2015-08-01,142
IDF55110528,2019-09-01,139
IDF55080126,2019-08-01,89
IDF54987553,2019-03-01,104
IDF54897333,2019-09-01,129
IDF55082582,2018-12-01,85
IDF54951255,2019-07-01,90
IDF55047669,2019-06-01,112
IDF55059435,2015-06-01,94
IDF54957138,2016-05-01,106
IDF54929237,2018-09-01,119
IDF55082111,2014-01-01,98
IDF54925101,2016-03-01,136
IDF55056275,2016-10-01,122
IDF55091552,2018-11-01,83
IDF54940611,2017-10-01,138
IDF54979814,2017-12-01,133
IDF54915417,2019-09-01,141
IDF54906963,2019-05-01,115
IDF54932009,2019-07-01,127
IDF54897013,2015-04-01,96
IDF54997955,2018-11-01,81
IDF55077735,2016-09-01,130
IDF55140471,2019-05-01,84
IDF55076334,2019-02-01,112
IDF54919065,2017-04-01,117
IDF54939034,2016-10-01,145
IDF54935540,2014-03-01,126
IDF55088004,2018-12-01,86
IDF55055232,2016-12-01,114
IDF54966307,2018-03-01,80
IDF54982860,2018-11-01,103
IDF55110991,2016-02-01,125
IDF54994502,2019-04-01,83
IDF54962424,2017-06-01,128
IDF55145472,2018-06-01,115
IDF54982928,2019-09-01,133
IDF55082894,2019-10-01,135
IDF54998532,2016-12-01,139
IDF55144246,2019-04-01,107
IDF55063960,2014-07-01,114
IDF54977380,2018-09-01,99
IDF55150561,2018-07-01,90
IDF54980969,2019-10-01,84
IDF55132449,2015-09-01,99
IDF55092907,2018-07-01,97
IDF55067835,2015-06-01,128
IDF55056052,2017-04-01,91
IDF55106956,2014-05-01,145
IDF55037833,2019-02-01,106
IDF55040208,2016-07-01,131
IDF55035351,2015-06-01,112
IDF55045916,2016-11-01,100
IDF54964270,2019-08-01,137
IDF55070331,2015-12-01,98
IDF55083804,2019-10-01,98
IDF54898248,2014-04-01,129
IDF54967089,2018-02-01,110
IDF54946663,2018-10-01,86
IDF54947393,2018-12-01,88
IDF54979829,2019-05-01,150
IDF54939817,2018-08-01,115
IDF55139006,2019-06-01,99
IDF54995290,2016-11-01,88
IDF54952434,2018-03-01,142
IDF55087725,2015-06-01,108
IDF54928194,2019-11-01,136
IDF55133320,2019-10-01,82
IDF55147180,2019-07-01,121
IDF55097224,2014-06-01,115
IDF54975759,2017-08-01,89
IDF54955205,2016-10-01,115
IDF54976870,2018-04-01,97
IDF55080459,2019-04-01,104
IDF54906472,2019-04-01,143
IDF54967286,2017-05-01,102
IDF55074968,2017-08-01,97
IDF55002504,2019-07-01,109
IDF54933978,2017-07-01,127
IDF55129980,2019-05-01,114
IDF54986955,2018-12-01,80
IDF55022669,2019-05-01,141
IDF54921734,2016-06-01,125
IDF55061334,2016-09-01,96
IDF55099822,2018-12-01,88
IDF54954731,2019-02-01,128
IDF55151508,2019-03-01,86
IDF55074619,2019-06-01,83
IDF54952400,2019-05-01,100
IDF54965131,2016-07-01,124
IDF55077690,2018-03-01,81
IDF54978792,2019-05-01,149
IDF54963725,2019-04-01,103
IDF54975772,2018-10-01,148
IDF54984885,2015-04-01,112
IDF55141488,2016-08-01,136
IDF55108408,2018-10-01,112
IDF54964512,2018-02-01,95
IDF55046135,2015-09-01,101
IDF55038508,2019-04-01,112
IDF55083032,2018-03-01,110
IDF55079851,2019-08-01,123
IDF55137380,2019-02-01,125
IDF55085057,2014-11-01,128
IDF55139243,2015-04-01,133
IDF55053634,2014-09-01,149
IDF54897622,2019-05-01,130
IDF54907616,2014-09-01,140
IDF55119118,2018-08-01,145
IDF55067501,2019-07-01,150
IDF54902247,2017-02-01,144
IDF55093546,2019-10-01,130
IDF55060468,2017-01-01,148
IDF55097495,2014-12-01,85
IDF54993245,2015-10-01,135
IDF54960787,2015-04-01,90
IDF55093227,2017-02-01,117
IDF54972430,2018-02-01,112
IDF54897166,2014-10-01,124
IDF55023933,2019-08-01,89
IDF54987586,2015-08-01,147
IDF55114025,2018-11-01,131
IDF54999747,2015-04-01,119
IDF54963522,2018-05-01,135
IDF55007532,2019-02-01,148
IDF55014778,2019-05-01,91
IDF54987711,2014-07-01,117
IDF54931803,2019-11-01,85
IDF55124966,2019-03-01,118
IDF55095873,2017-10-01,142
IDF54978950,2016-09-01,103
IDF55128412,2015-11-01,81
IDF54953703,2019-12-01,88
IDF55025867,2016-02-01,83
IDF55126916,2017-12-01,129
IDF54909194,2019-05-01,106
IDF54926335,2015-04-01,128
IDF55048450,2015-03-01,129
IDF55103374,2019-06-01,115
IDF55086462,2017-03-01,85
IDF55087468,2017-11-01,114
IDF54994391,2019-02-01,81
IDF55059868,2016-12-01,95
IDF54934319,2019-04-01,110
IDF54914232,2014-12-01,144
IDF55145386,2017-03-01,127
IDF55072789,2019-08-01,98
IDF54982826,2015-02-01,113
IDF55125898,2015-05-01,85
IDF54931349,2018-07-01,148
IDF54962257,2015-11-01,134
IDF54981093,2019-10-01,80
IDF55100200,2018-08-01,142
IDF55085153,2018-07-01,97
IDF54993709,2017-10-01,138
IDF54994709,2015-02-01,110
IDF54957025,2014-10-01,107
IDF55077184,2015-01-01,118
IDF55092991,2017-11-01,110
IDF55067591,2015-04-01,125
IDF55083349,2015-09-01,140
IDF55000614,2017-10-01,120
IDF55013828,2014-12-01,82
IDF55109459,2016-02-01,144
IDF54945419,2017-04-01,97
IDF55150056,2016-08-01,125
IDF55123277,2018-12-01,123
IDF54912593,2019-02-01,95
IDF54936639,2014-09-01,96
IDF55058432,2019-11-01,128
IDF54983053,2019-03-01,121
IDF55124112,2017-04-01,121
IDF55151483,2016-06-01,85
IDF55010868,2019-02-01,127
IDF55086074,2014-06-01,86
IDF54905961,2015-12-01,90
IDF54976956,2019-08-01,115
IDF55099038,2017-02-01,80
IDF54994588,2016-06-01,83
IDF54922365,2016-12-01,117
IDF54938187,2016-04-01,141
IDF55073528,2015-03-01,141
IDF54918586,2017-02-01,143
IDF54907306,2019-10-01,121
IDF54899612,2019-04-01,94
IDF54909912,2018-03-01,126
IDF55096770,2019-08-01,108
IDF55073275,2017-07-01,90
IDF55047051,2017-06-01,119
IDF55122315,2016-07-01,142
IDF55052109,2017-04-01,84
IDF55092396,2016-03-01,107
IDF55045876,2019-02-01,105
IDF54925751,2018-12-01,91
IDF54998977,2015-11-01,95
IDF55067251,2015-09-01,146
IDF55072874,2018-04-01,117
IDF55123080,2019-06-01,104
IDF54995838,2014-08-01,101
IDF54921885,2019-11-01,134
IDF55144497,2015-04-01,94
IDF54971943,2018-12-01,139
IDF54940011,2019-02-01,85
IDF55024319,2019-05-01,81
IDF55023440,2015-12-01,92
IDF55108362,2018-12-01,113
IDF55060201,2014-02-01,146
IDF55056920,2018-12-01,130
