ID,возраст,семейное_положение,наличие_иждивенцев,дата_регистрации
IDF55071468,37,есть семья,1,2016-10-01
IDF55116453,52,разведённые,1,2015-02-01
IDF55109403,54,разведённые,1,2018-09-01
IDF54927545,64,разведённые,1,2018-12-01
IDF55141162,49,есть семья,0,2019-01-01
IDF55022781,34,есть семья,1,2019-02-01
IDF55112284,27,нет семьи,1,2017-01-01
IDF54917383,69,есть семья,1,2014-05-01
IDF54954016,40,разведённые,0,2014-03-01
IDF55054193,26,нет семьи,0,2016-01-01
IDF55080652,47,нет семьи,1,2017-08-01
IDF54954127,31,нет семьи,0,2014-06-01
IDF54972019,63,есть семья,1,2016-08-01
IDF55009375,26,разведённые,1,2019-07-01
IDF55144177,58,нет семьи,0,2015-04-01
IDF55049799,29,нет семьи,0,2015-12-01
IDF54915456,36,есть семья,0,2019-02-01
IDF55145583,34,разведённые,1,2015-08-01
IDF54947122,58,есть семья,0,2013-05-01
IDF55036976,20,нет семьи,1,2014-02-01
IDF54966398,44,есть семья,1,2014-11-01
IDF55028356,25,нет семьи,1,2015-11-01
IDF54936535,27,разведённые,0,2015-05-01
IDF55031470,47,есть семья,1,2013-09-01
IDF54913717,49,есть семья,0,2017-02-01
IDF55053225,61,разведённые,0,2019-06-01
IDF55095960,52,нет семьи,0,2014-12-01
IDF55124288,53,есть семья,0,2013-08-01
IDF55032837,18,разведённые,0,2019-10-01
IDF55047949,44,есть семья,1,2017-01-01
IDF55065210,54,нет семьи,1,2019-04-01
IDF54993762,57,разведённые,0,2014-08-01
IDF54949596,53,есть семья,0,2014-09-01
IDF54946261,44,разведённые,0,2017-02-01
IDF54961396,53,разведённые,1,2017-09-01
IDF55106075,20,разведённые,1,2019-02-01
IDF54991658,50,есть семья,1,2018-06-01
IDF54984821,37,нет семьи,0,2015-10-01
IDF55013491,19,разведённые,0,2014-06-01
IDF55125815,56,нет семьи,1,2013-06-01
IDF55007475,48,разведённые,0,2018-10-01
IDF55126176,38,разведённые,1,2019-02-01
IDF54947606,66,нет семьи,0,2014-10-01
IDF55063700,39,есть семья,1,2018-06-01
IDF55124872,45,разведённые,0,2015-11-01
IDF54958894,46,нет семьи,0,2017-01-01
IDF54987428,39,есть семья,1,2014-01-01
IDF55077780,18,нет семьи,1,2016-12-01
IDF54998505,29,разведённые,1,2014-10-01
IDF54911976,19,разведённые,1,2015-10-01
IDF54899810,38,разведённые,0,2013-05-01
IDF55125439,35,есть семья,1,2019-08-01
IDF54909541,57,разведённые,0,2018-12-01
IDF55040287,40,нет семьи,1,2015-03-01
IDF55030895,33,разведённые,1,2019-05-01
IDF55021209,27,есть семья,1,2015-09-01
IDF54948133,45,есть семья,1,2019-06-01
IDF55064218,20,есть семья,0,2015-08-01
IDF55025963,68,разведённые,0,2016-07-01
IDF54979948,22,есть семья,0,2015-03-01
IDF55131324,41,есть семья,1,2014-08-01
IDF54945915,19,нет семьи,0,2015-06-01
IDF54971202,42,разведённые,1,2016-07-01
IDF55011196,39,есть семья,0,2017-03-01
IDF54973516,34,есть семья,1,2014-06-01
IDF55103919,40,разведённые,1,2018-12-01
IDF54963461,53,разведённые,1,2018-08-01
IDF54899316,68,разведённые,1,2015-07-01
IDF55028039,31,есть семья,1,2015-07-01
IDF55049967,50,нет семьи,0,2018-10-01
IDF55036349,32,есть семья,0,2017-04-01
IDF55040735,31,есть семья,1,2015-01-01
IDF54955196,66,нет семьи,0,2016-01-01
IDF55062443,65,нет семьи,0,2017-04-01
IDF55054419,64,нет семьи,0,2017-07-01
IDF55000891,27,нет семьи,1,2013-06-01
IDF55119308,58,нет семьи,0,2019-08-01
IDF54972078,58,разведённые,0,2016-12-01
IDF55020835,26,есть семья,1,2014-06-01
IDF54994480,44,есть семья,0,2018-09-01
IDF55005889,22,разведённые,1,2018-01-01
IDF55075526,37,есть семья,1,2017-12-01
IDF54976500,32,нет семьи,0,2013-06-01
IDF55052037,45,есть семья,1,2014-09-01
IDF55044572,30,есть семья,1,2015-01-01
IDF55013539,51,разведённые,0,2016-11-01
IDF55106382,18,есть семья,1,2017-06-01
IDF54972462,47,разведённые,1,2016-05-01
IDF54992001,49,нет семьи,0,2019-07-01
IDF55019949,25,нет семьи,1,2019-12-01
IDF55045474,23,есть семья,1,2016-01-01
IDF55114339,21,нет семьи,0,2018-12-01
IDF55056970,42,разведённые,0,2016-07-01
IDF55082608,33,разведённые,0,2013-04-01
IDF54995625,39,нет семьи,1,2014-03-01
IDF54909921,69,есть семья,1,2018-06-01
IDF54915545,23,нет семьи,1,2019-08-01
IDF54897415,37,нет семьи,0,2013-01-01
IDF55121745,40,есть семья,0,2018-02-01
IDF55079852,40,нет семьи,0,2019-06-01
IDF54970943,49,есть семья,0,2017-03-01
IDF55061920,41,разведённые,0,2017-01-01
IDF54911330,54,разведённые,0,2019-02-01
IDF55026337,31,разведённые,0,2013-01-01
IDF55140193,21,нет семьи,1,2016-08-01
IDF54905917,57,нет семьи,1,2015-03-01
IDF54954965,55,есть семья,0,2018-06-01
IDF54967874,22,разведённые,0,2019-03-01
IDF54948233,21,разведённые,1,2018-10-01
IDF54933112,41,нет семьи,0,2015-06-01
IDF55057646,50,есть семья,1,2016-10-01
IDF54911643,22,нет семьи,1,2016-06-01
IDF55093002,31,нет семьи,1,2017-07-01
IDF54984306,51,нет семьи,1,2015-03-01
IDF55147423,58,разведённые,1,2016-10-01
IDF55063601,22,нет семьи,1,2013-12-01
IDF55150552,51,нет семьи,0,2017-02-01
IDF54908067,38,нет семьи,1,2013-08-01
IDF55070311,67,разведённые,0,2017-06-01
IDF55110949,19,есть семья,0,2014-10-01
IDF55142652,21,нет семьи,1,2018-01-01
IDF55005647,46,нет семьи,1,2013-02-01
IDF55072631,25,разведённые,0,2018-01-01
IDF54908672,22,нет семьи,0,2019-12-01
IDF55079062,29,разведённые,1,2015-06-01
IDF55081978,64,есть семья,1,2016-02-01
IDF54928183,44,нет семьи,0,2018-06-01
IDF55088991,37,есть семья,1,2018-04-01
IDF55059575,56,нет семьи,0,2013-07-01
IDF55093538,20,есть семья,0,2019-03-01
IDF55007965,66,разведённые,1,2016-01-01
IDF55028611,53,нет семьи,0,2016-07-01
IDF55006332,40,есть семья,1,2014-09-01
IDF54897687,66,разведённые,1,2014-02-01
IDF55008198,40,разведённые,0,2015-09-01
IDF55096250,31,нет семьи,0,2016-06-01
IDF55106711,55,есть семья,0,2018-07-01
IDF54905160,37,есть семья,0,2019-09-01
IDF55130829,56,есть семья,1,2014-05-01
IDF54978750,68,нет семьи,0,2015-09-01
IDF54982011,20,разведённые,0,2013-05-01
IDF55101948,26,разведённые,1,2016-02-01
IDF54950808,38,разведённые,0,2014-06-01
IDF54938578,35,есть семья,1,2018-08-01
IDF54902418,62,разведённые,0,2019-11-01
IDF55029064,60,есть семья,0,2017-07-01
IDF54927549,23,разведённые,0,2019-10-01
IDF55135367,41,есть семья,1,2018-04-01
IDF54929754,46,есть семья,0,2018-04-01
IDF54992783,60,есть семья,0,2018-07-01
IDF54982215,60,нет семьи,1,2017-10-01
IDF54931726,55,нет семьи,0,2018-02-01
IDF54920934,33,нет семьи,0,2015-05-01
IDF55143682,40,нет семьи,0,2014-12-01
IDF54974595,19,разведённые,0,2013-12-01
IDF54998397,36,нет семьи,1,2014-09-01
IDF54906747,55,есть семья,0,2018-11-01
IDF54939646,35,нет семьи,0,2014-11-01
IDF54973875,32,нет семьи,0,2014-05-01
IDF55101025,58,нет семьи,1,2018-04-01
IDF55096713,19,разведённые,1,2016-05-01
IDF54928167,31,есть семья,1,2019-02-01
IDF55087652,65,нет семьи,1,2018-04-01
IDF55129617,62,нет семьи,1,2017-07-01
IDF55129867,68,нет семьи,0,2014-04-01
IDF55007649,33,есть семья,0,2014-10-01
IDF55019145,64,разведённые,1,2019-01-01
IDF55020904,61,разведённые,0,2013-09-01
IDF55122584,34,нет семьи,0,2016-04-01
IDF55035703,57,разведённые,0,2016-12-01
IDF54973145,25,разведённые,0,2018-04-01
IDF55103992,64,есть семья,1,2013-04-01
IDF54904846,47,разведённые,0,2015-02-01
IDF55139779,59,нет семьи,1,2013-08-01
IDF55016902,18,разведённые,1,2015-04-01
IDF54973736,32,нет семьи,1,2016-04-01
IDF54947855,52,нет семьи,0,2013-12-01
IDF54907572,20,нет семьи,0,2019-07-01
IDF55000694,62,нет семьи,1,2013-03-01
IDF54966219,51,разведённые,0,2017-12-01
IDF55147425,20,разведённые,1,2019-08-01
IDF54913188,45,нет семьи,1,2016-12-01
IDF54964651,56,нет семьи,1,2016-05-01
IDF55105621,22,разведённые,0,2017-06-01
IDF55145104,22,нет семьи,1,2018-12-01
IDF54981459,66,есть семья,0,2014-02-01
IDF54971054,47,нет семьи,1,2013-03-01
IDF54907824,45,есть семья,1,2017-01-01
IDF55128976,27,есть семья,0,2017-02-01
IDF54965433,26,есть семья,0,2017-04-01
IDF55078848,36,есть семья,1,2014-08-01
IDF55062900,64,разведённые,1,2014-07-01
IDF54975235,45,есть семья,1,2017-12-01
IDF54941290,23,есть семья,0,2015-12-01
IDF55013441,24,есть семья,0,2017-02-01
IDF55088324,65,нет семьи,0,2018-03-01
IDF55018038,49,есть семья,1,2013-09-01
IDF55020886,47,разведённые,1,2014-01-01
IDF55017369,35,нет семьи,0,2018-06-01
IDF54961687,44,разведённые,0,2015-08-01
IDF55096183,33,есть семья,0,2018-12-01
IDF55105673,25,разведённые,0,2018-02-01
IDF54960319,51,разведённые,1,2013-04-01
IDF54999043,20,разведённые,0,2015-08-01
IDF55121755,64,есть семья,0,2017-04-01
IDF55048832,19,нет семьи,1,2014-10-01
IDF55110778,33,есть семья,1,2013-04-01
IDF54975109,60,разведённые,1,2017-01-01
IDF54964796,43,нет семьи,0,2018-07-01
IDF55011361,41,есть семья,1,2018-08-01
IDF55040250,57,разведённые,0,2016-10-01
IDF54992602,35,разведённые,1,2013-03-01
IDF54970132,55,нет семьи,1,2019-08-01
IDF55056574,60,есть семья,0,2014-12-01
IDF54917552,19,разведённые,0,2013-09-01
IDF54928692,44,есть семья,0,2015-01-01
IDF55042030,25,есть семья,1,2017-05-01
IDF55106267,43,есть семья,1,2019-07-01
IDF54988730,36,нет семьи,1,2015-04-01
IDF55007732,34,есть семья,0,2014-03-01
IDF54934923,19,есть семья,1,2015-02-01
IDF55046639,25,нет семьи,1,2016-10-01
IDF54911697,67,есть семья,0,2013-01-01
IDF55117319,20,разведённые,1,2014-05-01
IDF54988559,43,разведённые,1,2015-01-01
IDF55041701,28,нет семьи,1,2018-02-01
IDF54910521,62,нет семьи,1,2015-04-01
IDF55133346,27,разведённые,1,2018-02-01
IDF54905286,50,разведённые,0,2014-10-01
IDF54987238,23,нет семьи,0,2019-11-01
IDF54921643,18,есть семья,1,2013-03-01
IDF55016377,64,есть семья,1,2014-01-01
IDF54998677,19,есть семья,1,2013-09-01
IDF55115748,59,нет семьи,0,2013-12-01
IDF54957413,21,есть семья,1,2018-02-01
IDF54900808,55,нет семьи,1,2017-04-01
IDF55001322,27,нет семьи,1,2017-08-01
IDF55115357,31,нет семьи,1,2015-04-01
IDF54994331,39,нет семьи,0,2016-09-01
IDF55027753,28,есть семья,0,2016-08-01
IDF55100478,43,разведённые,1,2018-07-01
IDF55084700,53,разведённые,0,2017-10-01
IDF55117574,41,есть семья,1,2018-12-01
IDF55030147,55,нет семьи,0,2015-06-01
IDF55146834,67,разведённые,1,2016-08-01
IDF55002049,46,разведённые,0,2019-05-01
IDF55077327,37,нет семьи,0,2015-03-01
IDF54965114,57,разведённые,1,2015-05-01
IDF54980431,64,есть семья,0,2017-11-01
IDF54947514,32,нет семьи,1,2013-07-01
IDF55138929,38,нет семьи,1,2019-07-01
IDF54976525,28,разведённые,1,2013-03-01
IDF55040765,40,есть семья,1,2019-02-01
IDF54986873,43,есть семья,0,2016-08-01
IDF54964665,36,есть семья,1,2017-02-01
IDF55096255,55,есть семья,0,2013-06-01
IDF54951630,60,нет семьи,1,2013-11-01
IDF54943437,61,есть семья,1,2014-10-01
IDF55129951,55,разведённые,1,2018-04-01
IDF55096855,48,нет семьи,0,2013-03-01
IDF55135624,27,есть семья,1,2019-12-01
IDF55086084,27,разведённые,1,2017-08-01
IDF55066518,51,разведённые,0,2018-01-01
IDF55037249,23,есть семья,1,2015-03-01
IDF55149676,40,разведённые,1,2015-06-01
IDF55031351,50,разведённые,0,2017-08-01
IDF54973274,35,есть семья,1,2013-12-01
IDF55030422,42,есть семья,1,2014-05-01
IDF54970220,55,нет семьи,0,2018-05-01
IDF54940970,48,есть семья,0,2017-07-01
IDF55003934,26,есть семья,0,2014-09-01
IDF55118273,35,есть семья,1,2019-06-01
IDF54985249,33,есть семья,0,2016-11-01
IDF54988248,55,разведённые,1,2013-04-01
IDF54945726,52,разведённые,1,2017-09-01
IDF54898223,21,разведённые,0,2013-11-01
IDF55073267,19,разведённые,1,2015-04-01
IDF54931620,58,нет семьи,1,2016-11-01
IDF55059833,53,разведённые,0,2016-04-01
IDF55050827,34,нет семьи,1,2017-03-01
IDF55036479,47,разведённые,0,2015-09-01
IDF55064924,35,разведённые,1,2013-05-01
IDF55114966,65,есть семья,0,2016-01-01
IDF55053871,64,есть семья,0,2015-12-01
IDF55045259,34,разведённые,1,2013-12-01
IDF54963180,46,разведённые,1,2015-02-01
IDF55142893,48,нет семьи,0,2013-05-01
IDF55028862,40,нет семьи,1,2017-03-01
IDF55035457,25,нет семьи,1,2016-05-01
IDF54914696,27,есть семья,1,2019-07-01
IDF55018069,43,нет семьи,1,2017-06-01
IDF55096528,23,разведённые,1,2019-05-01
IDF54904566,33,разведённые,0,2013-10-01
IDF55062826,21,есть семья,0,2016-03-01
IDF54945324,24,нет семьи,0,2015-04-01
IDF54943463,36,есть семья,1,2013-07-01
IDF54916345,54,разведённые,0,2014-09-01
IDF54951746,24,есть семья,0,2016-09-01
IDF54903495,36,есть семья,1,2018-12-01
IDF54971291,20,разведённые,0,2016-06-01
IDF54970982,47,есть семья,0,2016-06-01
IDF54914125,26,нет семьи,0,2018-03-01
IDF55025155,57,разведённые,0,2019-12-01
IDF55123895,68,разведённые,0,2018-02-01
IDF54907723,34,разведённые,0,2018-08-01
IDF55122451,43,разведённые,0,2014-05-01
IDF55115469,35,есть семья,0,2014-03-01
IDF55044529,56,нет семьи,1,2018-01-01
IDF55149061,68,разведённые,1,2015-12-01
IDF55061893,29,есть семья,0,2013-06-01
IDF55110963,43,есть семья,1,2015-02-01
IDF55006121,57,нет семьи,1,2014-05-01
IDF54913048,64,нет семьи,1,2016-02-01
IDF54964285,47,есть семья,0,2017-03-01
IDF55029312,46,разведённые,0,2013-08-01
IDF55117725,34,нет семьи,0,2013-02-01
IDF55107404,50,есть семья,1,2016-12-01
IDF54904334,51,есть семья,1,2019-05-01
IDF55078101,25,нет семьи,0,2019-03-01
IDF55014316,43,разведённые,0,2015-06-01
IDF55109366,30,нет семьи,0,2016-07-01
IDF55091004,25,есть семья,0,2019-07-01
IDF54950938,38,нет семьи,0,2015-06-01
IDF54954656,64,разведённые,0,2013-03-01
IDF55012793,58,разведённые,1,2013-08-01
IDF54927068,40,нет семьи,1,2019-06-01
IDF55147253,24,разведённые,0,2019-01-01
IDF54934010,43,есть семья,1,2017-08-01
IDF55045667,26,разведённые,0,2014-08-01
IDF54985570,27,есть семья,0,2016-06-01
IDF54971320,20,нет семьи,1,2015-03-01
IDF54992721,21,есть семья,1,2013-01-01
IDF55023063,22,разведённые,0,2013-09-01
IDF55095619,35,есть семья,1,2018-03-01
IDF54933390,32,нет семьи,0,2016-11-01
IDF54905782,25,нет семьи,1,2019-05-01
IDF55110261,57,нет семьи,0,2019-02-01
IDF55030484,59,разведённые,0,2018-09-01
IDF54929120,64,есть семья,1,2013-10-01
IDF54934714,28,есть семья,0,2019-02-01
IDF54959364,68,разведённые,0,2017-06-01
IDF54944025,33,есть семья,1,2016-08-01
IDF55115896,25,есть семья,0,2013-01-01
IDF54920730,19,разведённые,0,2015-06-01
IDF55021151,57,разведённые,0,2014-09-01
IDF55089186,61,нет семьи,0,2013-06-01
IDF55059289,43,нет семьи,0,2017-11-01
IDF54954148,66,есть семья,0,2019-03-01
IDF55004104,50,есть семья,0,2015-05-01
IDF55038660,26,разведённые,1,2013-05-01
IDF55083995,64,есть семья,0,2014-06-01
IDF55020444,43,есть семья,0,2013-04-01
IDF55051288,69,есть семья,1,2014-06-01
IDF55107636,25,разведённые,1,2016-03-01
IDF54979241,52,разведённые,0,2017-01-01
IDF55105995,40,есть семья,1,2017-04-01
IDF54980161,65,разведённые,0,2017-05-01
IDF55088953,56,разведённые,0,2016-04-01
IDF55017773,64,нет семьи,1,2013-09-01
IDF55018456,68,есть семья,0,2014-03-01
IDF54945654,52,разведённые,0,2018-07-01
IDF54937917,59,разведённые,0,2019-09-01
IDF54939000,61,нет семьи,0,2014-07-01
IDF54904861,30,нет семьи,1,2015-11-01
IDF55033265,38,нет семьи,0,2015-06-01
IDF55139024,63,нет семьи,1,2013-07-01
IDF55037093,18,есть семья,0,2018-02-01
IDF55130214,37,разведённые,0,2016-07-01
IDF55012404,53,разведённые,1,2014-07-01
IDF55080092,60,нет семьи,1,2013-04-01
IDF55007315,38,есть семья,1,2017-04-01
IDF55135427,58,есть семья,1,2016-03-01
IDF55023372,40,нет семьи,0,2019-08-01
IDF54944346,34,разведённые,1,2014-03-01
IDF55081360,31,нет семьи,1,2019-07-01
IDF55095294,18,нет семьи,0,2017-03-01
IDF54898589,31,разведённые,1,2013-01-01
IDF55113661,28,есть семья,1,2013-09-01
IDF55111448,52,есть семья,1,2013-08-01
IDF54907421,59,нет семьи,1,2019-01-01
IDF54961671,32,разведённые,0,2013-10-01
IDF54966962,18,есть семья,1,2013-06-01
IDF55004035,25,разведённые,0,2013-11-01
IDF54929284,38,есть семья,1,2015-02-01
IDF54970723,57,разведённые,1,2019-01-01
IDF55139990,20,есть семья,1,2017-03-01
IDF54955901,36,нет семьи,0,2016-08-01
IDF55108268,55,разведённые,0,2014-05-01
IDF55141210,37,нет семьи,1,2013-11-01
IDF55148857,24,нет семьи,1,2017-09-01
IDF55128655,48,нет семьи,0,2017-07-01
IDF55055207,32,разведённые,1,2013-07-01
IDF54900656,27,разведённые,1,2018-09-01
IDF54928313,53,есть семья,1,2014-05-01
IDF55136935,20,есть семья,0,2018-03-01
IDF55043847,68,нет семьи,0,2013-02-01
IDF55073555,50,разведённые,1,2013-05-01
IDF55138762,34,разведённые,0,2014-06-01
IDF54908318,60,есть семья,1,2013-09-01
IDF55037599,49,есть семья,0,2018-01-01
IDF55054304,42,есть семья,0,2018-04-01
IDF54926449,47,есть семья,0,2019-10-01
IDF55117948,26,есть семья,0,2016-01-01
IDF54990367,32,разведённые,0,2019-05-01
IDF55046071,49,есть семья,0,2016-06-01
IDF54943721,32,разведённые,1,2016-06-01
IDF55124926,49,есть семья,0,2016-05-01
IDF55115607,19,разведённые,1,2019-09-01
IDF54927502,28,есть семья,0,2015-06-01
IDF55084529,67,есть семья,0,2015-09-01
IDF54969516,47,разведённые,1,2016-01-01
IDF54935176,48,разведённые,1,2019-04-01
IDF54957716,49,нет семьи,0,2016-09-01
IDF54972668,24,есть семья,1,2016-01-01
IDF54899178,51,нет семьи,1,2019-11-01
IDF55115729,67,есть семья,0,2018-07-01
IDF55028640,27,разведённые,0,2015-07-01
IDF55135995,60,разведённые,0,2014-06-01
IDF55056699,48,есть семья,0,2014-12-01
IDF54991497,40,нет семьи,0,2017-10-01
IDF54943230,46,нет семьи,0,2014-02-01
IDF55013173,46,есть семья,1,2017-12-01
IDF55026805,35,нет семьи,0,2015-09-01
IDF55104901,46,есть семья,1,2016-03-01
IDF55103652,31,есть семья,0,2015-05-01
IDF55048306,24,нет семьи,1,2018-04-01
IDF55009070,30,разведённые,0,2014-12-01
IDF55107565,30,разведённые,1,2017-01-01
IDF55062351,21,нет семьи,0,2013-04-01
IDF55060576,24,разведённые,0,2013-01-01
IDF55001003,28,есть семья,0,2014-03-01
IDF55084630,20,разведённые,1,2016-02-01
IDF55012478,52,нет семьи,1,2019-05-01
IDF55072277,25,разведённые,0,2016-02-01
IDF55127724,28,есть семья,0,2015-05-01
IDF54996130,40,нет семьи,0,2014-01-01
IDF55059037,63,есть семья,0,2017-05-01
IDF55130367,57,есть семья,0,2014-12-01
IDF55140348,56,есть семья,0,2017-08-01
IDF54938708,54,разведённые,1,2013-04-01
IDF55078056,21,есть семья,1,2013-01-01
IDF54937080,52,разведённые,1,2016-09-01
IDF55052299,23,есть семья,1,2019-07-01
IDF55129490,44,разведённые,0,2015-07-01
IDF54989943,58,разведённые,0,2014-08-01
IDF54926415,47,нет семьи,0,2019-06-01
IDF55092104,29,нет семьи,0,2018-01-01
IDF55012123,54,нет семьи,0,2016-09-01
IDF54970761,28,разведённые,1,2015-08-01
IDF54929926,43,нет семьи,0,2018-12-01
IDF55078759,24,разведённые,1,2019-05-01
IDF55100996,41,нет семьи,0,2017-09-01
IDF55091109,22,разведённые,0,2017-02-01
IDF55083595,25,разведённые,1,2016-07-01
IDF54944001,60,нет семьи,1,2014-07-01
IDF55019764,27,разведённые,1,2017-10-01
IDF55030285,32,есть семья,1,2014-10-01
IDF54924105,35,есть семья,1,2014-03-01
IDF55121006,39,разведённые,0,2017-07-01
IDF54980542,67,нет семьи,0,2018-07-01
IDF54980767,59,нет семьи,1,2018-01-01
IDF55134606,23,разведённые,0,2015-12-01
IDF55103207,67,разведённые,1,2017-09-01
IDF54961813,45,разведённые,1,2019-08-01
IDF55040421,67,есть семья,0,2014-09-01
IDF55106662,53,разведённые,1,2015-10-01
IDF55036361,25,разведённые,1,2013-03-01
IDF54983647,53,есть семья,1,2019-11-01
IDF54918153,21,есть семья,0,2017-10-01
IDF55150793,49,нет семьи,1,2016-06-01
IDF55018281,38,разведённые,1,2017-06-01
IDF55124878,37,есть семья,1,2018-10-01
IDF55093039,28,разведённые,1,2019-03-01
IDF55039189,21,есть семья,1,2019-08-01
IDF54913835,62,разведённые,1,2015-01-01
IDF55040846,49,есть семья,1,2016-07-01
IDF54947564,56,нет семьи,0,2017-04-01
IDF55115111,65,нет семьи,0,2017-10-01
IDF55056219,30,нет семьи,0,2015-01-01
IDF55121867,62,нет семьи,0,2018-08-01
IDF55095300,48,есть семья,1,2013-05-01
IDF55064118,57,разведённые,1,2014-12-01
IDF55107934,48,разведённые,0,2018-04-01
IDF54966925,20,разведённые,0,2018-12-01
IDF55130594,23,есть семья,0,2015-11-01
IDF54965376,32,нет семьи,0,2018-09-01
IDF55076378,28,нет семьи,0,2018-02-01
IDF55022467,28,есть семья,0,2015-01-01
IDF55001454,38,есть семья,1,2019-11-01
IDF54968171,56,есть семья,0,2015-07-01
IDF55056887,67,есть семья,0,2013-06-01
IDF55092723,49,нет семьи,1,2014-12-01
IDF55035951,42,есть семья,0,2015-03-01
IDF55075976,42,нет семьи,0,2019-03-01
IDF55032170,45,нет семьи,0,2019-11-01
IDF54898788,45,есть семья,0,2017-10-01
IDF55057305,58,нет семьи,1,2015-03-01
IDF55118766,59,нет семьи,1,2013-02-01
IDF54942166,18,нет семьи,0,2014-12-01
IDF54923222,20,есть семья,1,2016-05-01
IDF55126921,34,есть семья,1,2017-07-01
IDF54999050,47,разведённые,0,2014-08-01
IDF54990400,24,разведённые,1,2019-10-01
IDF55006348,40,есть семья,0,2014-06-01
IDF55149193,69,нет семьи,1,2015-08-01
IDF55151608,26,есть семья,0,2016-03-01
IDF54978717,61,нет семьи,0,2016-08-01
IDF55110557,35,есть семья,0,2015-04-01
IDF54994015,37,разведённые,1,2015-07-01
IDF54985420,59,нет семьи,1,2018-08-01
IDF55102509,23,разведённые,0,2018-03-01
IDF54993043,22,разведённые,1,2015-01-01
IDF54981341,32,есть семья,1,2018-12-01
IDF54969386,22,разведённые,0,2019-06-01
IDF55000545,19,нет семьи,1,2016-01-01
IDF54981455,52,разведённые,0,2018-05-01
IDF55081765,62,нет семьи,1,2017-02-01
IDF54980465,24,разведённые,0,2016-04-01
IDF55122730,28,есть семья,0,2015-04-01
IDF54958614,58,есть семья,1,2018-03-01
IDF54924682,28,разведённые,1,2014-06-01
IDF55007718,67,разведённые,0,2017-02-01
IDF55128100,64,нет семьи,1,2016-06-01
IDF54975692,55,разведённые,0,2013-08-01
IDF54966353,44,есть семья,1,2013-06-01
IDF55051004,67,разведённые,0,2014-08-01
IDF54950496,33,разведённые,1,2015-01-01
IDF54964172,56,нет семьи,1,2015-01-01
IDF55085840,29,нет семьи,1,2017-09-01
IDF55005142,22,разведённые,1,2013-08-01
IDF54962013,52,разведённые,0,2015-09-01
IDF54927230,31,есть семья,0,2015-04-01
IDF54979695,65,нет семьи,0,2014-10-01
IDF54910467,36,есть семья,1,2019-11-01
IDF54989788,31,нет семьи,0,2016-07-01
IDF54947179,47,разведённые,1,2017-01-01
IDF55063825,39,есть семья,0,2019-01-01
IDF55115374,57,нет семьи,0,2017-02-01
IDF55018005,67,нет семьи,1,2014-04-01
IDF54971626,22,нет семьи,1,2013-10-01
IDF55055198,27,есть семья,0,2016-02-01
IDF55131417,20,нет семьи,1,2017-04-01
IDF55057707,60,есть семья,1,2016-02-01
IDF54997878,66,есть семья,1,2014-12-01
IDF55117383,19,нет семьи,0,2018-11-01
IDF55122119,53,разведённые,0,2015-09-01
IDF54970169,24,есть семья,1,2013-01-01
IDF55111664,25,разведённые,0,2014-04-01
IDF55015941,59,разведённые,1,2017-09-01
IDF54935437,29,разведённые,0,2013-07-01
IDF54925409,38,разведённые,1,2013-07-01
IDF55093307,55,нет семьи,0,2014-12-01
IDF55007818,21,нет семьи,0,2017-09-01
IDF54977517,41,нет семьи,0,2015-06-01
IDF54919974,25,есть семья,1,2016-04-01
IDF55112090,60,разведённые,1,2016-10-01
IDF55113770,20,нет семьи,0,2015-09-01
IDF55061015,46,разведённые,0,2013-06-01
IDF55032887,37,нет семьи,0,2014-12-01
IDF54920303,30,есть семья,0,2016-07-01
IDF55041677,49,есть семья,1,2013-04-01
IDF54967770,47,нет семьи,1,2016-03-01
IDF55093269,56,нет семьи,0,2013-07-01
IDF55002286,18,нет семьи,0,2017-06-01
IDF54909842,68,есть семья,1,2019-02-01
IDF55136217,38,есть семья,0,2017-01-01
IDF55023004,20,нет семьи,1,2014-01-01
IDF55120999,20,разведённые,0,2015-08-01
IDF54973277,45,разведённые,1,2014-03-01
IDF54970370,52,нет семьи,0,2016-04-01
IDF55026077,64,разведённые,1,2019-01-01
IDF55002687,31,разведённые,0,2014-01-01
IDF55140338,46,разведённые,1,2015-04-01
IDF55047958,64,разведённые,0,2014-09-01
IDF55026811,32,разведённые,0,2019-09-01
IDF55142239,49,нет семьи,0,2013-06-01
IDF54953408,51,нет семьи,0,2017-08-01
IDF54903518,39,разведённые,0,2014-06-01
IDF55075959,42,разведённые,1,2017-09-01
IDF55137218,52,разведённые,0,2019-06-01
IDF55123147,33,есть семья,1,2013-11-01
IDF54986765,25,нет семьи,1,2014-02-01
IDF55073311,65,нет семьи,0,2019-01-01
IDF55113053,21,нет семьи,0,2019-03-01
IDF54987684,30,есть семья,0,2019-08-01
IDF55090491,50,есть семья,1,2013-04-01
IDF55072684,24,есть семья,0,2017-06-01
IDF55014505,21,разведённые,1,2018-12-01
IDF55081495,43,есть семья,1,2013-04-01
IDF54936708,58,разведённые,0,2015-10-01
IDF55119695,29,есть семья,1,2019-07-01
IDF54911172,22,разведённые,0,2017-01-01
IDF55003333,57,нет семьи,1,2019-05-01
IDF54986823,18,нет семьи,0,2017-03-01
IDF55047743,43,разведённые,0,2014-05-01
IDF54947877,34,есть семья,0,2016-02-01
IDF55150347,67,разведённые,0,2016-09-01
IDF54956070,53,есть семья,1,2014-11-01
